SpectrogramFile,RawIQFile,Class,Scenario,CenterFrequency_Hz,SampleRate_Hz,ReceiverGain_dB,SNR_dB,FrequencyOffset_MHz,ADC_ClipRatio
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\Bluetooth\Bluetooth_sdrsim_00001.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\Bluetooth\Bluetooth_sdrsim_iq_00001.mat,Bluetooth,Bluetooth SDR-like capture,2437000000,40000000,2.77533310366222,20,-0.713905234850603,0.1745361328125
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\Noise\Noise_sdrsim_00001.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\Noise\Noise_sdrsim_iq_00001.mat,Noise,Receiver noise floor,2437000000,40000000,-9.79647776014876,NaN,NaN,0
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\Unknown\Unknown_sdrsim_00001.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\Unknown\Unknown_sdrsim_iq_00001.mat,Unknown,Unknown SDR-like RF signal,2437000000,40000000,-2.67281969209138,10,-7.99027302860294,0
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\WiFi\WiFi_sdrsim_00001.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\WiFi\WiFi_sdrsim_iq_00001.mat,WiFi,WiFi SDR-like capture,2437000000,40000000,-6.15646770642364,0,1.42659275649827,0
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\WiFi_Bluetooth_Overlap\WiFi_Bluetooth_Overlap_sdrsim_00001.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\WiFi_Bluetooth_Overlap\WiFi_Bluetooth_Overlap_sdrsim_iq_00001.mat,WiFi_Bluetooth_Overlap,WiFi and Bluetooth overlapping,2437000000,40000000,2.15395072112925,20,-5.68388040095574,0.00113525390625
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\WiFi_Bluetooth_Separated\WiFi_Bluetooth_Separated_sdrsim_00001.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\WiFi_Bluetooth_Separated\WiFi_Bluetooth_Separated_sdrsim_iq_00001.mat,WiFi_Bluetooth_Separated,WiFi and Bluetooth separated,2437000000,40000000,-4.20532829163617,-2,-17.2086549951883,0
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\Bluetooth\Bluetooth_sdrsim_00002.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\Bluetooth\Bluetooth_sdrsim_iq_00002.mat,Bluetooth,Bluetooth SDR-like capture,2437000000,40000000,2.13893966146061,10,14.5042332182577,0.0106201171875
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\Noise\Noise_sdrsim_00002.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\Noise\Noise_sdrsim_iq_00002.mat,Noise,Receiver noise floor,2437000000,40000000,-6.18941496939961,NaN,NaN,0
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\Unknown\Unknown_sdrsim_00002.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\Unknown\Unknown_sdrsim_iq_00002.mat,Unknown,Unknown SDR-like RF signal,2437000000,40000000,1.80791827007894,30,-15.8361899729783,0.0135009765625
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\WiFi\WiFi_sdrsim_00002.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\WiFi\WiFi_sdrsim_iq_00002.mat,WiFi,WiFi SDR-like capture,2437000000,40000000,2.33655484508378,15,-1.29811028936779,0.0010009765625
C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\spectrograms\WiFi_Bluetooth_Overlap\WiFi_Bluetooth_Overlap_sdrsim_00002.png,C:\Users\DETPC\Desktop\Proyecto\data_simulated_sdr_v1\raw_iq_samples\WiFi_Bluetooth_Overlap\WiFi_Bluetooth_Overlap_sdrsim_iq_00002.mat,WiFi_Bluetooth_Overlap,WiFi and Bluetooth overlapping,2437000000,40000000,2.14827113309247,-4,0.521958811768947,0.00047607421875
